fsa,electric,hev_sedan,hev_suv,ice_sedan,ice_suv,ice_van/pickup
G0A,0.003125,0.0072155898876404495,0.0028265449438202245,0.4590063202247191,0.346875,0.18095154494382024
G0B,0.0,0.0,0.0,0.5,0.35714285714285715,0.14285714285714285
G0C,0.0009150751247158839,0.0028042624789680315,0.0011807420964075922,0.4561797089470732,0.2946837087109248,0.24423650264191044
G0E,0.0012812299807815502,0.0019218449711723255,0.0,0.41415759128763613,0.28731582319026266,0.29532351057014733
G0G,0.0003208213025344883,0.001817987381028767,0.0019249278152069298,0.2895946957544648,0.34156774676505186,0.3647738209817132
G0H,0.0009029345372460496,0.004213694507148232,0.0015048908954100827,0.3959367945823928,0.28653122648607976,0.3109104589917231
G0J,0.0008435887256847955,0.003126240571655419,0.0015879317189360857,0.4252183406113537,0.2980349344978166,0.2711889638745534
G0K,0.000867195242814668,0.005574826560951437,0.0022299306243805748,0.4285183349851338,0.3317641228939544,0.23104558969276512
G0L,0.001435912938331318,0.005642885933091495,0.0024939540507859736,0.46445485691253524,0.3085197501007658,0.21745264006449014
G0M,0.0010816423657681825,0.0034179898758274563,0.00160083070133691,0.4644139661662268,0.3076190888244711,0.22186648206636958
G0N,0.0012881715541410927,0.003788739865120861,0.002349018716374934,0.4845798287489581,0.3044631355611124,0.20353110555429263
G0P,0.00392156862745098,0.009368191721132898,0.003703703703703704,0.4474945533769063,0.3193899782135076,0.21612200435729848
G0R,0.0012787950908477346,0.004529065946752393,0.0021668472372697724,0.48359767685558497,0.3030033923591993,0.2054242225103458
G0S,0.001242635243706481,0.004799143010176754,0.0012640599892876272,0.5020460632029995,0.3032244242099625,0.18742367434386717
G0T,0.00042707666026051675,0.002775998291693359,0.0009609224855861628,0.40796497971385864,0.29970104633781763,0.2881699765107837
G0V,0.0010489792624868877,0.004760752037440491,0.001533123537480836,0.42201242636972486,0.3029129347212136,0.2677317840716534
G0W,0.0006508439276261553,0.004425738707857856,0.002212869353928928,0.3907666941467436,0.2917082483620428,0.3102356055018007
G0X,0.002494131455399061,0.008264866979655712,0.0017850156494522691,0.4739827856025039,0.30528658059467917,0.20818661971830985
G0Y,0.0011268512556342563,0.005634256278171281,0.0020927237604636186,0.4219253058596265,0.3425627817128139,0.22665808113329042
G0Z,0.0031791448100460975,0.008106819265617548,0.001430615164520744,0.500556350341758,0.2832618025751073,0.20346526784295024
G1A,0.0,0.0,0.0,0.5,0.5,0.0
G1B,0.001756440281030445,0.00468384074941452,0.00273224043715847,0.4909250585480094,0.3592896174863388,0.1406128024980484
G1C,0.0031888951416244606,0.007221909585443631,0.003282686175201651,0.5227912211592571,0.3496529731757644,0.11386231476270868
